TGRAC FID,TGRAC Name,TGRAC District,Current LGD Code,Current LGD Name,Census 2011,Temporal Classification,Historical Identity,Match Method,Evidence,Status
506,Amrabad,Nagarkurnool,4578,Amrabad,04578,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nagarkurnool (LGD subdist_code 4578),RESOLVED_DIRECT
507,Vemanpalle,Mancherial,4330,Vemanpally,04330,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Vemanpalle -> Vemanpally in Mancherial,RESOLVED_DETERMINISTIC
508,Singareni,Khammam,4744,Singareni,04744,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Khammam (LGD subdist_code 4744),RESOLVED_DIRECT
509,Sircilla,Rajanna Sircilla,4435,Sircilla,04435,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Rajanna Sircilla (LGD subdist_code 4435),RESOLVED_DIRECT
510,Krishna,Narayanpet,6264,Krishna,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Narayanpet (LGD subdist_code 6264),RESOLVED_DIRECT
511,Annapureddipalle,Bhadradri Kothagudem,6268,Annapureddypalli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Annapureddypalli (LGD 6268),RESOLVED_DETERMINISTIC
512,Anumula_Haliya,Nalgonda,4660,Anumula,04660,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Anumula (LGD 4660),RESOLVED_DETERMINISTIC
513,Armoor,Nizamabad,4360,Armoor,04360,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4360),RESOLVED_DIRECT
514,Asifabad,Kumurambheem Asifabad,4319,Asifabad,04319,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kumuram Bheem Asifabad (LGD subdist_code 4319),RESOLVED_DIRECT
515,Sirgapoor,Sangareddy,6279,Sirgapoor,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 6279),RESOLVED_DIRECT
516,Nadikuda,Warangal_Rural,6547,Nadikuda,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_ALIAS_LINEAGE,Nadikuda (LGD 6547) in Hanumakonda post-2021 reorganization,RESOLVED_LEGAL_LINEAGE
517,Sirikonda,Adilabad,6224,Sirikonda,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Adilabad (LGD subdist_code 6224),RESOLVED_DIRECT
518,Sirikonda,Nizamabad,4379,Sirikonda,04379,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4379),RESOLVED_DIRECT
519,Abdullapurmet,Rangareddy,6319,Abdullapurmet,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 6319),RESOLVED_DIRECT
520,Achampet,Nagarkurnool,4579,Achampet,04579,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nagarkurnool (LGD subdist_code 4579),RESOLVED_DIRECT
521,Bandlaguda,Hyderabad,4509,Bandlaguda,04509,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hyderabad (LGD subdist_code 4509),RESOLVED_DIRECT
522,Addakal,Mahabubnagar,4586,Addakal,04586,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Mahabubnagar (LGD subdist_code 4586),RESOLVED_DIRECT
523,Motakondur,Yadadri Bhuvanagiri,6309,Motakonduru,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Motakonduru (LGD 6309),RESOLVED_DETERMINISTIC
524,Mupkal,Nizamabad,6238,Mupkal,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 6238),RESOLVED_DIRECT
525,Bhoothpur,Mahabubnagar,4574,Bhoothpur,04574,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Mahabubnagar (LGD subdist_code 4574),RESOLVED_DIRECT
526,Bhupalpally,Jayashankar Bhupalpally,4682,Bhupalpally,04682,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jayashankar Bhupalapally (LGD subdist_code 4682),RESOLVED_DIRECT
527,Bibinagar,Yadadri Bhuvanagiri,4629,Bibinagar,04629,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Yadadri Bhuvanagiri (LGD subdist_code 4629),RESOLVED_DIRECT
528,Bhadrachalam,Bhadradri Kothagudem,4730,Bhadrachalam,04730,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Bhadradri Kothagudem (LGD subdist_code 4730),RESOLVED_DIRECT
529,Bhainsa,Nirmal,4339,Bhainsa,04339,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nirmal (LGD subdist_code 4339),RESOLVED_DIRECT
530,Bheemadevarapalli,Warangal_Urban,4448,Bheemadevarpalli,04448,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Bheemadevarpalli (LGD 4448) in Hanumakonda,RESOLVED_DETERMINISTIC
531,Bheemini,Mancherial,4328,Bheemini,04328,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Mancherial (LGD subdist_code 4328),RESOLVED_DIRECT
532,Chandur,Nalgonda,4655,Chandur,04655,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nalgonda (LGD subdist_code 4655),RESOLVED_DIRECT
533,Chevella,Rangareddy,4529,Chevella,04529,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4529),RESOLVED_DIRECT
534,Chityal,Jayashankar Bhupalpally,4681,Chityal,04681,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jayashankar Bhupalapally (LGD subdist_code 4681),RESOLVED_DIRECT
535,Dharmaram,Peddapalli,4411,Dharmaram,04411,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Peddapalli (LGD subdist_code 4411),RESOLVED_DIRECT
536,Dharmasagar,Warangal_Urban,4677,Dharmasagar,04677,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hanumakonda (LGD subdist_code 4677),RESOLVED_DIRECT
537,Jadcherla,Mahabubnagar,4567,Jadcherla,04567,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Mahabubnagar (LGD subdist_code 4567),RESOLVED_DIRECT
538,Jagdevpur,Siddipet,4484,Jagdevpur,04484,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 4484),RESOLVED_DIRECT
539,Kalher,Sangareddy,4453,Kalher,04453,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 4453),RESOLVED_DIRECT
540,Kalluru,Khammam,4763,Kalluru,04763,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Khammam (LGD subdist_code 4763),RESOLVED_DIRECT
541,Karimnagar_Rural,Karimnagar,4428,Karimnagar Rural,04428,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Karimnagar (LGD subdist_code 4428),RESOLVED_DIRECT
542,Komuravelli,Siddipet,6284,Komuravelli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 6284),RESOLVED_DIRECT
543,Maddur,Siddipet,4673,Maddur,04673,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 4673),RESOLVED_DIRECT
544,Madgul,Rangareddy,4564,Madgul,04564,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4564),RESOLVED_DIRECT
545,Kotepally,Vikarabad,6312,Kotepally,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Vikarabad (LGD subdist_code 6312),RESOLVED_DIRECT
546,Manchal,Rangareddy,4547,Manchal,04547,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4547),RESOLVED_DIRECT
547,Kothur,Rangareddy,4560,Kothur,04560,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4560),RESOLVED_DIRECT
548,Morthad,Nizamabad,4362,Morthad,04362,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4362),RESOLVED_DIRECT
