ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
140,Baruipur Paschim,South 24 Parganas,GEN,Biman Banerjee,AITC,121006,61910,Debopam Chattopadhyaya (Babu),BJP
141,Magrahat Purba,South 24 Parganas,SC,Namita Saha,AITC,110945,54079,Chandan Kumar Naskar,BJP
142,Magrahat Paschim,South 24 Parganas,GEN,Gias Uddin Molla,AITC,97006,46941,Dhurjati Saha (Manas),BJP
143,Diamond Harbour,South 24 Parganas,GEN,Pannalal Halder,AITC,98478,16996,Dipak Kumar Halder,BJP
144,Falta,South 24 Parganas,GEN,Sankar Kumar Naskar,AITC,117179,40774,Bidhan Parui,BJP
145,Satgachia,South 24 Parganas,GEN,Mohan Chandra Naskar,AITC,118635,23318,Chandan Pal,BJP
146,Bishnupur (South 24 Parganas),South 24 Parganas,SC,Dilip Mondal,AITC,136509,58832,Agniswar Naskar,BJP
147,Sonarpur Dakshin,South 24 Parganas,GEN,Arundhuti Maitra (Lovely),AITC,109222,26181,Anjana Basu,BJP
148,Bhangar,South 24 Parganas,GEN,Nawsad Siddique,ISF,109237,26151,Karim Rezaul,AITC
149,Kasba,South 24 Parganas,GEN,Javed Ahmed Khan,AITC,121372,63622,Dr. Indranil Khan,BJP
150,Jadavpur,South 24 Parganas,GEN,Debabrata Majumdar (Malay),AITC,98100,38869,Dr. Sujan Chakraborty,CPI(M)
151,Sonarpur Uttar,South 24 Parganas,GEN,Firdousi Begum,AITC,119957,36090,Ranjan Baidya,BJP
152,Tollygunge,South 24 Parganas,GEN,Aroop Biswas,AITC,101440,50080,Babul Supriyo,BJP
153,Behala Purba,South 24 Parganas,GEN,Ratna Chatterjee,AITC,110968,37428,Payel Sarkar,BJP
154,Behala Paschim,South 24 Parganas,GEN,Partha Chatterjee,AITC,114778,50884,Srabanti Chatterjee,BJP
155,Maheshtala,South 24 Parganas,GEN,Dulal Chandra Das,AITC,124008,57949,Umesh Das,BJP
156,Budge Budge,South 24 Parganas,GEN,Ashok Kumar Deb,AITC,122357,44714,Dr. Tarun Kumar Adak,BJP
157,Metiaburuz,South 24 Parganas,GEN,Abdul Khaleque Molla,AITC,151066,119604,Ramjit Prasad,BJP
158,Kolkata Port,Kolkata,GEN,Firhad Hakim,AITC,105543,68554,Awadh Kishore Gupta,BJP
159,Bhabanipur,Kolkata,GEN,Sobhandeb Chattopadhyay,AITC,73505,28719,Rudranil Ghosh,BJP
160,Rashbehari,Kolkata,GEN,Debasish Kumar,AITC,65704,21414,Lt. Gen. (Dr.) Subrata Saha,BJP
161,Ballygunge,Kolkata,GEN,Subrata Mukherjee,AITC,106585,75359,Lokenath Chatterjee,BJP
162,Chowrangee,Kolkata,GEN,Nayna Bandyopadhyay,AITC,70101,45344,Devdutta Maji,BJP
