ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
61,Noida,Gautam Buddha Nagar,GEN,Pankaj Singh,BJP,244319,181513,Sunil Choudhary,SP
62,Dadri,Gautam Buddha Nagar,GEN,Tejpal Singh Nagar,BJP,218068,138218,Rajkumar Bhati,SP
63,Jewar,Gautam Buddha Nagar,GEN,Dhirendra Singh,BJP,117205,56315,Avtar Singh Bhadana,RLD
64,Sikandrabad,Bulandshahr,GEN,Lakshmi Raj Singh,BJP,125644,29343,Rahul Yadav,SP
65,Bulandshahr,Bulandshahr,GEN,Pradeep Kumar Chaudhary,BJP,127026,25600,Haji Yunus,RLD
66,Syana,Bulandshahr,GEN,Devendra Singh Lodhi,BJP,149125,89657,Dilnawaj Khan,RLD
67,Anupshahr,Bulandshahr,GEN,Sanjay Kumar Sharma,BJP,125602,77623,Rameshwar Lodhi,BSP
68,Debai,Bulandshahr,GEN,Chandrapal Singh,BJP,128640,68025,Harish Kumar,SP
69,Shikarpur,Bulandshahr,GEN,Anil Sharma,BJP,113855,55683,Kiran Pal Singh,RLD
70,Khurja,Bulandshahr,SC,Meenakshi Singh,BJP,137461,67084,Banshi Singh,SP
71,Khair,Aligarh,SC,Anoop Pradhan,BJP,139643,74341,Charu Kain,BSP
72,Barauli,Aligarh,GEN,Thakur Jaivir Singh,BJP,147984,90645,Narendra Kumar Sharma,BSP
73,Atrauli,Aligarh,GEN,Sandeep Kumar Singh,BJP,125691,39324,Viresh Yadav,SP
74,Chharra,Aligarh,GEN,Ravendra Pal Singh,BJP,110928,24327,Laxmi Dhangar,SP
75,Koil,Aligarh,GEN,Anil Parashar,BJP,108067,5028,Shaaz Ishaaq,SP
76,Aligarh,Aligarh,GEN,Mukta Raja,BJP,120389,12786,Zafar Alam,SP
77,Iglas,Aligarh,SC,Rajkumar Sahyogi,BJP,127209,59163,Birpal Diwakar,RLD
78,Hathras,Hathras,SC,Anjula Singh Mahaur,BJP,154655,100856,Sanjeev Kumar,BSP
79,Sadabad,Hathras,GEN,Pradeep Kumar Singh,RLD,104874,6437,Ramveer Upadhyay,BJP
80,Sikandra Rao,Hathras,GEN,Birendra Singh Rana,BJP,98094,8104,Lalit Pratap Baghel,SP
81,Chhata,Mathura,GEN,Chaudhary Laxmi Narayan Singh,BJP,124414,48948,Tejpal Singh,RLD
82,Mant,Mathura,GEN,Rajesh Chaudhary,BJP,83958,9580,Shyam Sundar Sharma,BSP
83,Goverdhan,Mathura,GEN,Karinda Singh,BJP,100199,42507,Rajkumar Rawat,BSP
84,Mathura,Mathura,GEN,Shrikant Sharma,BJP,158859,109803,Pradeep Mathur,INC
85,Baldev,Mathura,SC,Pooran Prakash,BJP,108414,25255,Babita Devi,RLD
86,Etmadpur,Agra,GEN,Dharampal Singh,BJP,146603,47924,Praval Pratap Singh,BSP
87,Agra Cantonment,Agra,SC,G S Dharmesh,BJP,117796,48697,Kunwar  Chand,SP
88,Agra South,Agra,GEN,Yogendra Upadhyaya,BJP,109262,56640,Vinay Agarwal,SP
89,Agra North,Agra,GEN,Purushottam Khandelwal,BJP,153817,112370,Shabbir Abbas,BSP
90,Agra Rural,Agra,SC,Baby Rani Maurya,BJP,137310,76608,Kiran Prabha Keshari,BSP
91,Fatehpur Sikri,Agra,GEN,Babulal Chaudhary,BJP,112095,47269,Brijesh Chahar,RLD
92,Kheragarh,Agra,GEN,Bhagwan Singh Kushwaha,BJP,96574,36497,Ramnath Shikarwar,INC
93,Fatehabad,Agra,GEN,Chotelal Verma,BJP,108811,53235,Rupali Dixit,SP
94,Bah,Agra,GEN,Rani Pakshalika Singh,BJP,78360,24235,Madhusudan Sharma,SP
95,Tundla,Firozabad,SC,Prempal Singh Dhangar,BJP,122881,47691,Rakesh Babu,SP
96,Jasrana,Firozabad,GEN,Sachin Yadav,SP,108289,836,Manvendra Lodhi,BJP
97,Firozabad,Firozabad,GEN,Manish Asiza,BJP,112509,32955,Saifur Rehman,SP
98,Shikohabad,Firozabad,GEN,Mukesh Verma,SP,106279,9328,Omprakash Verma,BJP
99,Sirsaganj,Firozabad,GEN,Sarvesh Singh Yadav,SP,96224,8805,Hariom Yadav,BJP
100,Kasganj,Kasganj,GEN,Devendra Singh,BJP,123410,46265,Man Pal Singh,SP
101,Amanpur,Kasganj,GEN,Hariom Verma,BJP,96377,43329,Satybhan Shakya,SP
102,Patiyali,Kasganj,GEN,Nadira Sultan,SP,91545,4001,Mamtesh Shakya,BJP
